Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,AvgH,AvgD,AvgA,AvgO,AvgU
I1,27/02/2023,19:45,Lazio,Sampdoria,1,0,H,1.43,4.46,7.98,1.95,1.87
I1,28/02/2023,17:30,Cremonese,Roma,2,1,H,5.25,3.49,1.77,2.37,1.61
I1,28/02/2023,19:45,Juventus,Torino,4,2,H,1.78,3.43,5.28,2.49,1.55
I1,03/03/2023,19:45,Napoli,Lazio,0,1,A,1.66,3.91,5.49,1.93,1.91
I1,04/03/2023,14:00,Monza,Empoli,2,1,H,2.11,3.24,3.84,2.09,1.77
I1,04/03/2023,17:00,Atalanta,Udinese,0,0,D,1.66,4.08,5.01,1.75,2.1
I1,04/03/2023,19:45,Fiorentina,Milan,2,1,H,2.86,3.28,2.56,2.13,1.73
I1,05/03/2023,11:30,Spezia,Verona,0,0,D,2.73,3.08,2.82,2.25,1.66
I1,05/03/2023,14:00,Sampdoria,Salernitana,0,0,D,2.31,3.27,3.27,2.19,1.69
I1,05/03/2023,17:00,Inter,Lecce,2,0,H,1.36,4.89,9.29,1.88,1.94
I1,05/03/2023,19:45,Roma,Juventus,1,0,H,2.68,3.08,2.87,2.45,1.56
I1,06/03/2023,17:30,Sassuolo,Cremonese,3,2,H,1.83,3.7,4.37,1.94,1.88
I1,06/03/2023,19:45,Torino,Bologna,1,0,H,2.37,3.01,3.41,2.4,1.57
I1,10/03/2023,19:45,Spezia,Inter,2,1,H,7.7,4.72,1.42,1.73,2.13
I1,11/03/2023,14:00,Empoli,Udinese,0,1,A,3.02,3.27,2.45,1.97,1.85
I1,11/03/2023,17:00,Napoli,Atalanta,2,0,H,1.67,4.04,5.05,1.78,2.06
I1,11/03/2023,19:45,Bologna,Lazio,0,0,D,3.08,3.19,2.46,2.28,1.64
I1,12/03/2023,11:30,Lecce,Torino,0,2,A,2.98,2.99,2.67,2.7,1.47
I1,12/03/2023,14:00,Cremonese,Fiorentina,0,2,A,4.34,3.62,1.86,1.98,1.84
I1,12/03/2023,14:00,Verona,Monza,1,1,D,2.52,3.16,3.01,2.26,1.65
I1,12/03/2023,17:00,Roma,Sassuolo,3,4,A,1.69,3.73,5.32,2.03,1.8
I1,12/03/2023,19:45,Juventus,Sampdoria,4,2,H,1.35,4.88,9.97,1.98,1.84
I1,13/03/2023,19:45,Milan,Salernitana,1,1,D,1.26,5.9,11.74,1.65,2.22
I1,17/03/2023,17:30,Sassuolo,Spezia,1,0,H,1.75,3.87,4.62,1.71,2.16
I1,17/03/2023,19:45,Atalanta,Empoli,2,1,H,1.42,4.82,7.47,1.68,2.21
I1,18/03/2023,14:00,Monza,Cremonese,1,1,D,1.84,3.62,4.45,2.05,1.79
I1,18/03/2023,17:00,Salernitana,Bologna,2,2,D,3.43,3.27,2.23,2.21,1.68
I1,18/03/2023,19:45,Udinese,Milan,3,1,H,3.43,3.44,2.16,1.97,1.85
I1,19/03/2023,11:30,Sampdoria,Verona,3,1,H,3.01,3.1,2.56,2.39,1.58
I1,19/03/2023,14:00,Fiorentina,Lecce,1,0,H,1.62,3.84,5.86,2.1,1.75
I1,19/03/2023,14:00,Torino,Napoli,0,4,A,4.89,3.54,1.79,2.24,1.66
I1,19/03/2023,17:00,Lazio,Roma,1,0,H,2.82,3.04,2.76,2.52,1.53
I1,19/03/2023,19:45,Inter,Juventus,0,1,A,1.98,3.45,4.01,2.11,1.75
I1,01/04/2023,14:00,Cremonese,Atalanta,1,3,A,5.19,3.99,1.67,1.81,2.02
I1,01/04/2023,17:00,Inter,Fiorentina,0,1,A,1.77,3.79,4.62,1.78,2.04
