Div,Date,Time,HomeTeam,AwayTeam,HG,AG,FTR,AvgH,AvgD,AvgA,AvgO,AvgU,x,y,isOver
IT1,12/11/2022,19:45,Bologna,Sassuolo,3,0,H,2.34,3.5,3.01,1.83,2,0.006839289869243229,-0.00279342653537972,Over
IT1,13/11/2022,11:30,Atalanta,Inter,2,3,A,3.07,3.59,2.27,1.7,2.17,-0.0023009458984188055,-0.021562384526189856,Over
IT1,13/11/2022,14:00,Monza,Salernitana,3,0,H,2.1,3.39,3.63,1.85,1.96,0.008094637049037961,0.004205714638284906,Over
IT1,13/11/2022,14:00,Roma,Torino,1,1,D,1.92,3.44,4.28,2.19,1.68,0.02267905079065482,0.020662837973779293,Under
IT1,13/11/2022,14:00,Verona,Spezia,1,2,A,2.11,3.47,3.52,1.88,1.94,0.00964435477651669,0.005127281682208093,Over
IT1,13/11/2022,17:00,Milan,Fiorentina,2,1,H,1.72,3.87,4.84,1.87,1.95,0.002786222583760346,0.015919074341970804,Over
IT1,13/11/2022,19:45,Juventus,Lazio,3,0,H,2,3.44,3.95,2.01,1.82,0.01662050054336906,0.013995112332928028,Over
IT1,04/01/2023,11:30,Salernitana,Milan,1,2,A,6.87,4.47,1.48,1.74,2.11,-0.007665482954022175,-0.05435012883361744,Over
IT1,04/01/2023,11:30,Sassuolo,Sampdoria,1,2,A,1.76,3.75,4.73,1.93,1.89,0.007883453178301086,0.01728682073021773,Over
IT1,04/01/2023,13:30,Spezia,Atalanta,2,2,D,4.74,4,1.71,1.73,2.13,-0.003147083743002637,-0.04127406874956432,Over
IT1,04/01/2023,13:30,Torino,Verona,1,1,D,1.85,3.6,4.42,2,1.82,0.013953787823912224,0.017503828062137818,Under
IT1,04/01/2023,15:30,Lecce,Lazio,2,1,H,3.72,3.26,2.13,2.3,1.63,0.027486868352075068,-0.003556757590963182,Over
IT1,04/01/2023,15:30,Roma,Bologna,1,0,H,1.63,3.87,5.72,2.04,1.79,0.010170631351468746,0.02515777340783847,Under
IT1,04/01/2023,17:30,Cremonese,Juventus,0,1,A,5.14,3.81,1.7,1.98,1.85,0.010815226985745864,-0.03390069367764829,Under
IT1,04/01/2023,17:30,Fiorentina,Monza,1,1,D,1.72,3.88,4.85,1.88,1.94,0.003335657891431291,0.01639470475835328,Under
IT1,04/01/2023,19:45,Inter,Napoli,1,0,H,2.3,3.44,3.12,1.69,2.19,-0.00383780559231099,-0.008450813499597991,Under
IT1,04/01/2023,19:45,Udinese,Empoli,1,1,D,1.62,3.96,5.69,1.69,2.19,-0.012988127948517277,0.012350300257930298,Under
IT1,07/01/2023,14:00,Fiorentina,Sassuolo,2,1,H,1.72,3.95,4.75,1.77,2.07,-0.004797911792044597,0.011192645342369547,Over
IT1,07/01/2023,17:00,Juventus,Udinese,1,0,H,1.78,3.75,4.66,1.95,1.88,0.00909263602308837,0.01748025092022955,Under
IT1,07/01/2023,19:45,Monza,Inter,2,2,D,5.62,4.39,1.56,1.67,2.23,-0.010057436887169702,-0.0495899464028092,Over
IT1,08/01/2023,11:30,Salernitana,Torino,1,1,D,3.67,3.26,2.15,2.16,1.7,0.024733217593510846,-0.007878866205414423,Under
IT1,08/01/2023,14:00,Lazio,Empoli,2,2,D,1.55,4.32,5.94,1.74,2.12,-0.012886653408872517,0.01735590066645927,Over
IT1,08/01/2023,14:00,Spezia,Lecce,0,0,D,2.62,3.08,2.95,2.2,1.69,0.027121747868256246,0.008410470768187054,Under
IT1,08/01/2023,17:00,Sampdoria,Napoli,0,2,A,8.2,4.82,1.4,1.76,2.09,-0.010150017569979906,-0.05787850979941214,Under
IT1,08/01/2023,19:45,Milan,Roma,2,2,D,1.87,3.59,4.35,2.06,1.79,0.016758468684266545,0.01873442071916089,Over
IT1,09/01/2023,17:30,Verona,Cremonese,2,0,H,2.08,3.38,3.73,1.91,1.91,0.011720295877470454,0.007640831105815989,Under
IT1,09/01/2023,19:45,Bologna,Atalanta,1,2,A,3.42,3.44,2.16,1.88,1.94,0.011498732097314637,-0.0184865769194069,Over
IT1,13/01/2023,19:45,Napoli,Juventus,5,1,H,1.96,3.49,4.06,2.04,1.8,0.01740690982805031,0.01599190767458085,Over
